State,12+
Total U.S.,6.64
Northeast,6.87
Midwest,6.99
South,5.95
West,7.24
Alabama,4.97
Alaska,8.46
Arizona,6.95
Arkansas,5.28
California,7.10
Colorado,8.05
Connecticut,7.67
Delaware,6.94
District of Columbia,11.71
Florida,5.88
Georgia,5.27
Hawaii,7.27
Idaho,6.70
Illinois,7.18
Indiana,6.84
Iowa,7.36
Kansas,6.18
Kentucky,5.34
Louisiana,6.61
Maine,6.39
Maryland,6.09
Massachusetts,7.90
Michigan,7.01
Minnesota,7.37
Mississippi,5.21
Missouri,6.18
Montana,8.20
Nebraska,7.15
Nevada,8.70
New Hampshire,6.79
New Jersey,6.72
New Mexico,7.28
New York,6.56
North Carolina,4.87
North Dakota,8.69
Ohio,6.85
Oklahoma,8.16
Oregon,7.53
Pennsylvania,6.57
Rhode Island,8.92
South Carolina,6.07
South Dakota,8.68
Tennessee,5.79
Texas,6.51
Utah,4.76
Vermont,6.72
Virginia,6.02
Washington,7.72
West Virginia,5.77
Wisconsin,7.13
Wyoming,7.72
