State,Median income
     United States,"51,849"
Alabama,"42,738"
Alaska,"62,855"
Arizona,"49,165"
Arkansas,"39,752"
California,"57,688"
Colorado,"60,729"
Connecticut,"66,481"
Delaware,"50,951"
District of Columbia,"63,435"
Florida,"47,313"
Georgia,"48,130"
Hawaii,"59,244"
Idaho,"50,193"
Illinois,"54,843"
Indiana,"48,691"
Iowa,"54,537"
Kansas,"51,107"
Kentucky,"41,921"
Louisiana,"39,637"
Maine,"49,997"
Maryland,"69,071"
Massachusetts,"63,772"
Michigan,"49,771"
Minnesota,"61,800"
Mississippi,"39,012"
Missouri,"50,399"
Montana,"44,938"
Nebraska,"53,364"
Nevada,"46,695"
New Hampshire,"70,063"
New Jersey,"64,722"
New Mexico,"43,091"
New York,"51,108"
North Carolina,"41,683"
North Dakota,"54,732"
Ohio,"45,709"
Oklahoma,"46,444"
Oregon,"54,417"
Pennsylvania,"53,305"
Rhode Island,"57,346"
South Carolina,"44,398"
South Dakota,"52,293"
Tennessee,"43,060"
Texas,"52,854"
Utah,"61,078"
Vermont,"55,616"
Virginia,"66,595"
Washington,"61,598"
West Virginia,"42,213"
Wisconsin,"54,554"
Wyoming,"57,024"
