State,12+
Total U.S.,26.60
Northeast,25.62
Midwest,29.49
South,27.99
West,22.49
Alabama,32.20
Alaska,31.53
Arizona,25.99
Arkansas,31.62
California,19.40
Colorado,28.50
Connecticut,24.69
Delaware,28.04
District of Columbia,25.32
Florida,24.59
Georgia,26.53
Hawaii,20.31
Idaho,25.90
Illinois,26.40
Indiana,32.86
Iowa,26.69
Kansas,29.60
Kentucky,38.45
Louisiana,32.95
Maine,28.46
Maryland,23.39
Massachusetts,23.81
Michigan,30.77
Minnesota,26.84
Mississippi,35.53
Missouri,31.76
Montana,30.98
Nebraska,26.45
Nevada,26.99
New Hampshire,26.13
New Jersey,23.33
New Mexico,26.07
New York,24.12
North Carolina,28.03
North Dakota,29.80
Ohio,32.20
Oklahoma,35.11
Oregon,26.34
Pennsylvania,30.00
Rhode Island,28.05
South Carolina,33.22
South Dakota,31.76
Tennessee,32.78
Texas,24.44
Utah,18.94
Vermont,28.39
Virginia,25.18
Washington,24.65
West Virginia,37.24
Wisconsin,27.07
Wyoming,32.47
,
,
