State,12+
Total U.S.,7.13
Northeast,7.72
Midwest,6.86
South,5.83
West,9.01
Alabama,5.07
Alaska,12.97
Arizona,7.22
Arkansas,5.30
California,9.08
Colorado,10.41
Connecticut,8.44
Delaware,7.49
District of Columbia,10.45
Florida,6.65
Georgia,5.96
Hawaii,7.57
Idaho,5.29
Illinois,7.03
Indiana,6.20
Iowa,6.10
Kansas,4.06
Kentucky,5.63
Louisiana,4.62
Maine,8.38
Maryland,5.81
Massachusetts,9.37
Michigan,8.89
Minnesota,6.30
Mississippi,5.80
Missouri,5.94
Montana,10.45
Nebraska,5.51
Nevada,8.36
New Hampshire,8.37
New Jersey,6.05
New Mexico,9.14
New York,8.24
North Carolina,6.49
North Dakota,5.15
Ohio,7.37
Oklahoma,6.04
Oregon,12.16
Pennsylvania,6.18
Rhode Island,13.00
South Carolina,7.20
South Dakota,5.79
Tennessee,5.41
Texas,5.11
Utah,4.41
Vermont,12.86
Virginia,5.54
Washington,10.21
West Virginia,5.27
Wisconsin,6.69
Wyoming,5.68
