NAME,POPESTIMATE2013
United States,316497531
Northeast Region,56028220
Midwest Region,67567871
South Region,118522802
West Region,74378638
Alabama,4833996
Alaska,737259
Arizona,6634997
Arkansas,2958765
California,38431393
Colorado,5272086
Connecticut,3599341
Delaware,925240
District of Columbia,649111
Florida,19600311
Georgia,9994759
Hawaii,1408987
Idaho,1612843
Illinois,12890552
Indiana,6570713
Iowa,3092341
Kansas,2895801
Kentucky,4399583
Louisiana,4629284
Maine,1328702
Maryland,5938737
Massachusetts,6708874
Michigan,9898193
Minnesota,5422060
Mississippi,2992206
Missouri,6044917
Montana,1014864
Nebraska,1868969
Nevada,2791494
New Hampshire,1322616
New Jersey,8911502
New Mexico,2086895
New York,19695680
North Carolina,9848917
North Dakota,723857
Ohio,11572005
Oklahoma,3853118
Oregon,3928068
Pennsylvania,12781296
Rhode Island,1053354
South Carolina,4771929
South Dakota,845510
Tennessee,6497269
Texas,26505637
Utah,2902787
Vermont,626855
Virginia,8270345
Washington,6973742
West Virginia,1853595
Wisconsin,5742953
Wyoming,583223
Puerto Rico,3595839
