zip,state,city,lat,lon
85003,AZ,Phoenix,33.451095,-112.077428
90001,CA,Los Angeles,33.973093,-118.247896
94102,CA,San Francisco,37.781334,-122.416728
94601,CA,Oakland,37.780595,-122.216587
33576,FL,San Antonio,28.337139,-82.288237
92802,CA,Anaheim,33.806909,-117.92219
78384,TX,San Diego,27.76535,-98.250297
80202,CO,Denver,39.749107,-104.994591
20001,DC,Washington,38.912217,-77.017691
33122,FL,Miami,25.7911,-80.320733
33602,FL,Tampa,27.961381,-82.45972
30303,GA,Atlanta,33.752504,-84.388846
60602,IL,Chicago,41.882883,-87.632125
46201,IN,Indianapolis,39.775006,-86.109348
70112,LA,New Orleans,29.960484,-90.075301
2108,MA,Boston,42.357603,-71.068432
21201,MD,Baltimore,39.29463,-76.625203
48202,MI,Detroit,42.377033,-83.079613
55101,MN,Minneapolis-Saint Paul,44.969963,-93.083167
63101,MO,St. Louis,38.634616,-90.191313
64101,MO,Kansas City,39.10005,-94.601849
27601,NC,Raleigh,35.772701,-78.632439
7102,NJ,Newark,40.73201,-74.176505
10009,NY,New York,40.726188,-73.979591
14202,NY,Buffalo,42.887038,-78.877948
13617,NY,Canton,44.592442,-75.162792
14604,NY,Rochester,43.157729,-77.607978
13202,NY,Syracuse,43.040988,-76.148856
44102,OH,Cleveland,41.473508,-81.739791
45202,OH,Cincinnati,39.107225,-84.501956
44304,OH,Akron,41.080808,-81.508526
97202,OR,Portland,45.484007,-122.636534
19102,PA,Philadelphia,39.948908,-75.166109
15112,PA,Pittsburgh,40.403577,-79.83889
2908,RI,Providence,41.838294,-71.437684
75201,TX,Dallas,32.790439,-96.80439
77002,TX,Houston,29.759366,-95.359361
98101,WA,Seattle,47.611435,-122.330456
54313,WI,Green Bay,44.546289,-88.102054
53202,WI,Milwaukee,43.050601,-87.896792
