State,12+
Total U.S.,3.27
Northeast,3.17
Midwest,3.20
South,3.16
West,3.57
Alabama,3.75
Alaska,3.30
Arizona,3.70
Arkansas,3.83
California,3.50
Colorado,3.64
Connecticut,2.92
Delaware,3.77
District of Columbia,4.52
Florida,2.94
Georgia,3.01
Hawaii,3.60
Idaho,3.45
Illinois,2.97
Indiana,3.96
Iowa,2.64
Kansas,2.84
Kentucky,3.10
Louisiana,3.48
Maine,3.18
Maryland,2.68
Massachusetts,3.26
Michigan,3.62
Minnesota,2.91
Mississippi,3.46
Missouri,2.89
Montana,3.26
Nebraska,2.67
Nevada,3.49
New Hampshire,3.47
New Jersey,3.25
New Mexico,3.85
New York,3.02
North Carolina,2.88
North Dakota,2.39
Ohio,3.51
Oklahoma,3.70
Oregon,3.81
Pennsylvania,3.16
Rhode Island,4.70
South Carolina,3.45
South Dakota,2.81
Tennessee,3.42
Texas,3.15
Utah,3.13
Vermont,3.74
Virginia,3.01
Washington,3.89
West Virginia,3.11
Wisconsin,2.85
Wyoming,2.53
