State,12+,,"12+
(95% Confidence Interval)",,"12-17
(Estimate)",,"12-17
(95% Confidence Interval)",,,"18-25
(Estimate)",,,"18-25
(95% Confidence Interval)",,,,"26+
(Estimate)",,,"26+
(95% Confidence Interval)",,,,
Total U.S.,8.95,,(8.69 - 9.21),,9.82,,(9.46 - 10.18),,,21.39,,,(20.81 - 21.98),,,,6.69,,,(6.38 - 7.01),,,,
Northeast,9.39,,(8.88 - 9.93),,9.90,,(9.23 - 10.61),,,23.59,,,(22.57 - 24.65),,,,6.95,,,(6.36 - 7.59),,,,
Midwest,8.67,,(8.30 - 9.07),,9.46,,(8.95 - 10.00),,,20.74,,,(19.93 - 21.57),,,,6.51,,,(6.09 - 6.97),,,,
South,7.64,,(7.30 - 8.00),,9.06,,(8.57 - 9.57),,,19.01,,,(18.29 - 19.75),,,,5.51,,,(5.12 - 5.93),,,,
West,10.93,,(10.36 - 11.53),,11.26,,(10.47 - 12.09),,,23.97,,,(22.85 - 25.13),,,,8.55,,,(7.86 - 9.29),,,,
Alabama,7.72,,(6.50 - 9.15),,8.99,,(7.38 - 10.91),,,17.51,,,(14.96 - 20.40),,,,5.85,,,(4.56 - 7.47),,,,
Alaska,14.03,,(12.14 - 16.15),,10.69,,(8.65 - 13.15),,,26.52,,,(23.09 - 30.26),,,,12.17,,,(9.97 - 14.77),,,,
Arizona,9.57,,(8.06 - 11.32),,11.44,,(9.27 - 14.03),,,20.67,,,(17.59 - 24.14),,,,7.39,,,(5.78 - 9.41),,,,
Arkansas,7.55,,(6.31 - 9.01),,9.18,,(7.41 - 11.34),,,17.56,,,(14.94 - 20.52),,,,5.64,,,(4.34 - 7.31),,,,
California,11.00,,(10.12 - 11.96),,11.18,,(9.99 - 12.48),,,24.35,,,(22.61 - 26.19),,,,8.48,,,(7.43 - 9.67),,,,
Colorado,12.24,,(10.44 - 14.31),,13.17,,(10.92 - 15.79),,,29.75,,,(26.00 - 33.78),,,,9.18,,,(7.22 - 11.61),,,,
Connecticut,9.58,,(8.12 - 11.28),,10.34,,(8.46 - 12.59),,,25.68,,,(22.34 - 29.34),,,,6.97,,,(5.40 - 8.95),,,,
Delaware,9.36,,(7.96 - 10.99),,11.79,,(9.72 - 14.22),,,23.09,,,(19.86 - 26.66),,,,6.74,,,(5.30 - 8.53),,,,
District of Columbia,13.51,,(11.61 - 15.68),,12.59,,(10.38 - 15.19),,,26.97,,,(23.72 - 30.50),,,,10.42,,,(8.33 - 12.96),,,,
Florida,8.32,,(7.55 - 9.16),,9.10,,(8.08 - 10.23),,,21.25,,,(19.61 - 23.00),,,,6.27,,,(5.40 - 7.27),,,,
Georgia,7.43,,(6.24 - 8.82),,9.66,,(7.85 - 11.83),,,18.52,,,(15.62 - 21.81),,,,5.14,,,(3.94 - 6.68),,,,
