Table with row headings in column A and column headings in rows 5 to 7.,,,,,,,,,,,,,,,,,,,,,,,,
Income 2013,,,,,,,,,,,,,,,,,,,,,,,,
Two-Year-Average1 Median Household Income by State:  2010 to 2013,,,,,,,,,,,,,,,,,,,,,,,,
"(Income in 2013 dollars.  Standard errors calculated using replicate weights.  For information on confidentiality protection, sampling error, nonsampling error, and definitions, see <ftp://ftp2.census.gov/programs-surveys/cps/techdocs/cpsmar14.pdf>)",,,,,,,,,,,,,,,,,,,,,,,,
States,2-year-average1 ,,,,,,Change* in median income (2012-2013 less 2010-2011),,,,,,,,,,,,,,,,,
,2010-2011,,,2012-2013,,,,,,,,,,,,,,,,,,,,
,Median income ,Standard error,90-percent confidence interval2 (+),Median income ,Standard error,90-percent confidence interval2 (+),Dollars,,Percentage change,,,,,,,,,,,,,,,
     United States,"52,244 ",264 ,434 ,"51,849 ",183 ,301 ,-395,,-0.8,,,,,,,,,,,,,,,
Alabama,"43,922 ","2,150 ","3,536 ","42,738 ","2,089 ","3,437 ","-1,184",,-2.7,,,,,,,,,,,,,,,
Alaska,"60,643 ","2,647 ","4,355 ","62,855 ","2,592 ","4,263 ","2,211",,3.6,,,,,,,,,,,,,,,
Arizona,"50,230 ","2,149 ","3,535 ","49,165 ","3,279 ","5,394 ","-1,066",,-2.1,,,,,,,,,,,,,,,
Arkansas,"42,001 ","2,111 ","3,472 ","39,752 ","2,016 ","3,316 ","-2,250",,-5.4,,,,,,,,,,,,,,,
California,"56,634 ","1,174 ","1,931 ","57,688 ",898 ,"1,478 ","1,054",,1.9,,,,,,,,,,,,,,,
Colorado,"62,538 ","2,264 ","3,724 ","60,729 ","2,240 ","3,685 ","-1,809",,-2.9,,,,,,,,,,,,,,,
Connecticut,"69,132 ","2,333 ","3,837 ","66,481 ","1,966 ","3,233 ","-2,652",,-3.8,,,,,,,,,,,,,,,
Delaware,"57,802 ","1,752 ","2,881 ","50,951 ","1,529 ","2,514 ","-6,850",*,-11.9,*,,,,,,,,,,,,,,
District of Columbia,"59,023 ","2,305 ","3,792 ","63,435 ","2,369 ","3,897 ","4,411",,7.5,,,,,,,,,,,,,,,
Florida,"46,899 ","1,214 ","1,996 ","47,313 ",997 ,"1,639 ",415,,0.9,,,,,,,,,,,,,,,
Georgia,"47,375 ","1,984 ","3,264 ","48,130 ","1,178 ","1,937 ",755,,1.6,,,,,,,,,,,,,,,
Hawaii,"62,384 ","2,238 ","3,681 ","59,244 ","1,614 ","2,654 ","-3,140",,-5.0,,,,,,,,,,,,,,,
Idaho,"49,711 ","2,590 ","4,260 ","50,193 ","2,607 ","4,288 ",481,,1.0,,,,,,,,,,,,,,,
Illinois,"53,322 ","1,287 ","2,116 ","54,843 ","1,208 ","1,987 ","1,521",,2.9,,,,,,,,,,,,,,,
Indiana,"47,664 ","2,305 ","3,791 ","48,691 ","2,026 ","3,333 ","1,027",,2.2,,,,,,,,,,,,,,,
Iowa,"52,191 ","1,482 ","2,438 ","54,537 ","1,569 ","2,581 ","2,346",*,4.5,*,,,,,,,,,,,,,,
Kansas,"48,500 ","1,725 ","2,838 ","51,107 ","1,092 ","1,796 ","2,607",,5.4,,,,,,,,,,,,,,,
Kentucky,"42,598 ","2,274 ","3,741 ","41,921 ","1,301 ","2,139 ",-677,,-1.6,,,,,,,,,,,,,,,
Louisiana,"42,050 ","2,312 ","3,803 ","39,637 ","1,839 ","3,026 ","-2,412",,-5.7,,,,,,,,,,,,,,,
Maine,"51,338 ","1,604 ","2,639 ","49,997 ","1,500 ","2,468 ","-1,342",,-2.6,,,,,,,,,,,,,,,
Maryland,"69,964 ","2,026 ","3,333 ","69,071 ","2,420 ","3,981 ",-894,,-1.3,,,,,,,,,,,,,,,
Massachusetts,"65,338 ","2,394 ","3,939 ","63,772 ","2,752 ","4,527 ","-1,566",,-2.4,,,,,,,,,,,,,,,
Michigan,"50,033 ","1,629 ","2,680 ","49,771 ","1,472 ","2,422 ",-262,,-0.5,,,,,,,,,,,,,,,
Minnesota,"57,893 ","1,866 ","3,070 ","61,800 ","1,196 ","1,968 ","3,907",*,6.7,*,,,,,,,,,,,,,,
Mississippi,"41,664 ","2,529 ","4,161 ","39,012 ","1,511 ","2,485 ","-2,652",,-6.4,,,,,,,,,,,,,,,
Missouri,"48,180 ","1,993 ","3,279 ","50,399 ","2,365 ","3,890 ","2,220",,4.6,,,,,,,,,,,,,,,
Montana,"42,909 ","1,715 ","2,821 ","44,938 ","2,014 ","3,313 ","2,028",,4.7,,,,,,,,,,,,,,,
Nebraska,"56,849 ","1,969 ","3,239 ","53,364 ","1,840 ","3,027 ","-3,484",,-6.1,,,,,,,,,,,,,,,
Nevada,"51,713 ","2,095 ","3,447 ","46,695 ","2,061 ","3,390 ","-5,018",*,-9.7,*,,,,,,,,,,,,,,
New Hampshire,"69,712 ","1,509 ","2,482 ","70,063 ","2,025 ","3,330 ",351,,0.5,,,,,,,,,,,,,,,
New Jersey,"65,920 ","2,454 ","4,036 ","64,722 ","1,799 ","2,960 ","-1,198",,-1.8,,,,,,,,,,,,,,,
New Mexico,"45,852 ","2,376 ","3,909 ","43,091 ","1,885 ","3,101 ","-2,761",,-6.0,,,,,,,,,,,,,,,
New York,"52,816 ",973 ,"1,601 ","51,108 ","1,177 ","1,936 ","-1,708",,-3.2,,,,,,,,,,,,,,,
North Carolina,"46,825 ","1,573 ","2,587 ","41,683 ","1,349 ","2,219 ","-5,142",*,-11.0,*,,,,,,,,,,,,,,
North Dakota,"56,434 ","2,541 ","4,181 ","54,732 ","1,890 ","3,108 ","-1,702",,-3.0,,,,,,,,,,,,,,,
Ohio,"47,634 ","1,185 ","1,950 ","45,709 ","1,135 ","1,867 ","-1,924",,-4.0,,,,,,,,,,,,,,,
Oklahoma,"48,119 ","1,915 ","3,150 ","46,444 ","2,299 ","3,782 ","-1,675",,-3.5,,,,,,,,,,,,,,,
Oregon,"53,715 ","1,388 ","2,283 ","54,417 ","1,620 ","2,664 ",702,,1.3,,,,,,,,,,,,,,,
Pennsylvania,"51,656 ","1,443 ","2,374 ","53,305 ","1,058 ","1,740 ","1,649",,3.2,,,,,,,,,,,,,,,
Rhode Island,"52,969 ","1,794 ","2,951 ","57,346 ","1,620 ","2,666 ","4,377",*,8.3,*,,,,,,,,,,,,,,
South Carolina,"43,033 ","1,358 ","2,234 ","44,398 ","1,708 ","2,809 ","1,365",,3.2,,,,,,,,,,,,,,,
South Dakota,"48,682 ","1,904 ","3,133 ","52,293 ","1,694 ","2,786 ","3,611",,7.4,,,,,,,,,,,,,,,
Tennessee,"42,510 ","1,695 ","2,789 ","43,060 ","2,168 ","3,566 ",549,,1.3,,,,,,,,,,,,,,,
Texas,"50,649 ","1,063 ","1,749 ","52,854 ","1,029 ","1,692 ","2,205",*,4.4,*,,,,,,,,,,,,,,
Utah,"59,027 ","1,630 ","2,682 ","61,078 ","2,917 ","4,798 ","2,051",,3.5,,,,,,,,,,,,,,,
Vermont,"56,734 ","1,894 ","3,115 ","55,616 ","2,191 ","3,604 ","-1,118",,-2.0,,,,,,,,,,,,,,,
Virginia,"64,674 ","1,797 ","2,955 ","66,595 ","1,717 ","2,825 ","1,921",,3.0,,,,,,,,,,,,,,,
Washington,"59,442 ","1,857 ","3,054 ","61,598 ","1,482 ","2,437 ","2,156",,3.6,,,,,,,,,,,,,,,
West Virginia,"44,509 ","1,949 ","3,205 ","42,213 ","2,102 ","3,458 ","-2,296",,-5.2,,,,,,,,,,,,,,,
Wisconsin,"53,856 ","1,698 ","2,793 ","54,554 ","1,573 ","2,588 ",698,,1.3,,,,,,,,,,,,,,,
Wyoming,"56,114 ","2,087 ","3,433 ","57,024 ","2,352 ","3,869 ",910,,1.6,,,,,,,,,,,,,,,
* An asterisk preceding an estimate indicates change is statistically different from zero at the 90 percent confidence level.  ,,,,,,,,,,,,,,,,,,,,,,,,
1 The 2-year-average median is the sum of two inflation-adjusted single-year medians divided by 2.,,,,,,,,,,,,,,,,,,,,,,,,
"2A 90-percent confidence interval is a measure of an estimate's variability.  The larger the confidence interval in relation to the size of the estimate, the less reliable the estimate.  For more information see ""Standard errors and their use"" at <ftp://ftp2.census.gov/library/publications/2014/demo/p60-249sa.pdf>",,,,,,,,,,,,,,,,,,,,,,,,
"Source:  U.S. Census Bureau, Current Population Survey, 2011 to 2014 Annual Social and Economic Supplements.",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
