Rank,City,State,MLBchampions,NBAchampions,NFL + AFL + AAFCchampions,NHLchampions,4 major leagues champions overall
30-T,Phoenix,AZ,1,0,0,0,1
5,Los Angeles,CA,6,11,2,2,21
12-T,San Francisco,CA,3,0,5,0,8
14-T,Oakland,CA,4,1,2,0,7
18-T,San Antonio,CA,0,5,0,0,5
23-T,Anaheim,CA,1,0,0,1,2
30-T,San Diego,CA,0,0,1,0,1
20-T,Denver,CO,0,0,2,2,4
14-T,"Washington, D.C.",DC,1,1,5,0,7
14-T,Miami,FL,2,3,2,0,7
23-T,Tampa,FL,0,0,1,1,2
30-T,Atlanta,GA,1,0,0,0,1
3,Chicago,IL,5,6,11,5,27
30-T,Indianapolis,IN,0,0,1,0,1
30-T,New Orleans,LA,0,0,1,0,1
2,Boston,MA,9,17,4,6,36
11,Baltimore,MD,3,1,5,0,9
4,Detroit,MI,4,3,4,11,22
14-T,Minneapolis-Saint Paul,MN,2,5,0,0,7
8-T,St. Louis,MO,11,1,1,0,13
23-T,Kansas City,MO,1,0,1,0,2
30-T,Raleigh,NC,0,0,0,1,1
22,Newark,NJ,0,0,0,3,3
1,New York City,NY,35,2,9,8,54
23-T,Buffalo,NY,0,0,2,0,2
23-T,Canton,NY,0,0,2,0,2
30-T,Rochester,NY,0,1,0,0,1
30-T,Syracuse,NY,0,1,0,0,1
10,Cleveland,OH,2,0,10,0,12
18-T,Cincinnati,OH,5,0,0,0,5
30-T,Akron,OH,0,0,1,0,1
30-T,Portland,OR,0,1,0,0,1
6,Philadelphia,PA,7,3,4,2,16
7,Pittsburgh,PA,5,0,6,3,14
30-T,Providence,RI,0,0,1,0,1
12-T,Dallas,TX,0,1,6,1,8
20-T,Houston,TX,0,2,2,0,4
23-T,Seattle,WA,0,1,1,0,2
8-T,Green Bay,WI,0,0,13,0,13
23-T,Milwaukee,WI,1,1,0,0,2
